,Player,Goals_21,ixG_21
750,Owen Power,2,0.44
751,Marc McLaughlin,3,1.07
752,James Neal,1,1.63
753,Brad Malone,1,0.6
754,Jay Beagle,1,2.3
755,Greg Pateryn,1,0.48
756,Ryan Ellis,1,0.2
757,Michael Sgarbossa,1,1.34
758,Mackenzie MacEachern,0,1.57
759,Cedric Paquette,0,1.06
760,Scott Sabourin,0,0.47
761,Tucker Poolman,1,1.77
762,Jonny Brodzinski,1,2.16
763,Carl Dahlstrom,0,0.07
764,Kevin Labanc,1,1.8
765,Colin White,0,3.17
766,Jakub Zboril,0,0.78
767,A.J. Greer,1,1.2
768,Nick Merkley,1,0.89
769,Noah Juulsen,0,0.17
770,Lane Pederson,0,1.84
771,Kyle Criscuolo,0,0.29
772,Tyler Benson,1,1.23
773,Jacob Moverare,0,0.31
774,Michal Kempny,1,0.62
775,Otto Koivula,0,0.64
776,Jeremy Davies,0,0.18
777,Juuso Valimaki,0,0.41
778,Isaac Ratcliffe,1,1.1
779,Radim Simek,1,1.61
780,Alexei Toropchenko,2,4.39
781,Sheldon Dries,1,2.01
782,Trey Fix-Wolansky,1,0.33
783,Kristian Reichel,1,1.66
784,Austin Strand,0,0.24
785,Kiefer Sherwood,1,0.87
786,Jack Drury,2,0.77
787,Benoit-Olivier Groulx,0,1.22
788,Nils Lundkvist,0,0.53
789,Riley Damiani,1,1.53
790,Paul Cotter,2,0.78
791,Scott Perunovich,0,0.39
792,Taro Hirose,0,0.75
793,Nikita Okhotiuk,1,0.3
794,Alex Vlasic,1,0.43
795,Santeri Hatakka,0,0.12
796,Zac Jones,0,0.43
797,Jake Neighbours,1,0.55
798,Justin Barron,1,0.32
799,Mike Hardman,0,1.54
800,Matt Kiersted,1,0.39
801,Mason McTavish,2,1.24
802,Nick Blankenburg,0,0.41
803,Blake Comeau,1,0.13
804,Brett Connolly,0,0.48
805,Jarred Tinordi,1,0.19
806,Matthew Peca,0,0.15
807,Josh Archibald,0,0.27
808,Joseph Cramarossa,0,0.07
809,Andy Andreoff,1,0.34
810,Dmitrij Jaskin,0,1.89
811,Scott Harrington,0,0.19
812,Gemel Smith,0,0.01
813,Danny O'Regan,0,0.27
814,Petteri Lindbohm,0,0.4
815,Ben Harpur,0,0.48
816,Nic Petan,0,1.75
817,Clark Bishop,0,0.89
818,Dylan Sikura,0,0.41
