"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"146","Jordie Benn","VAN, WPG","D","39","517.48333333333","1","9","5","4","10","34.48","41","2.44","1.57","88","60","21","4","2","5","9","3","2","1","0","1","19","4","17","30","41","0","0","-"
"198","Radko Gudas","FLA","D","54","808.95","2","8","1","7","10","27.03","77","2.60","2.27","155","106","24","0","3","6","38","13","9","4","0","15","28","13","230","96","58","0","0","-"
"289","Joel Edmundson","MTL","D","55","938.6","2","8","2","6","10","22.22","70","2.86","2.37","163","109","39","3","3","8","23","10","9","1","0","6","61","4","85","76","56","0","0","-"
"297","Adam Larsson","EDM","D","56","934.35","4","6","2","4","10","35.71","50","8.00","2.28","127","89","31","4","5","5","24","12","12","0","0","4","30","9","145","84","104","1","0","100.00"
"308","Connor Murphy","CHI","D","49","906.11666666667","1","9","2","7","10","31.25","71","1.41","2.21","147","91","27","3","1","5","33","7","4","1","2","12","25","9","94","147","93","0","0","-"
"345","Colton Parayko","STL","D","32","567.76666666667","1","9","5","4","10","50.00","51","1.96","1.44","104","67","18","2","1","7","12","6","6","0","0","2","16","9","32","67","48","0","0","-"
"385","Danny DeKeyser","DET","D","47","718.83333333333","3","7","3","4","10","37.04","38","7.89","1.31","84","58","21","1","0","1","16","8","8","0","0","1","15","0","39","71","60","0","0","-"
"422","Jason Dickinson","DAL","C","51","696.45","5","5","3","2","10","50.00","62","8.06","5.95","119","88","70","29","2","4","18","9","9","0","0","14","14","21","76","61","40","126","137","47.91"
"432","Artturi Lehkonen","MTL","L","47","517.71666666667","5","5","2","3","10","76.92","69","7.25","5.58","118","90","73","35","4","6","6","3","3","0","0","6","8","1","73","63","18","4","3","57.14"
"499","Ivan Barbashev","STL","C","38","421.16666666667","3","7","6","1","10","71.43","39","7.69","4.63","65","52","42","24","3","5","6","3","3","0","0","1","8","7","45","35","12","70","81","46.36"
"521","Michael Bunting","ARI","L","21","295.93333333333","7","3","1","2","10","76.92","30","23.33","3.92","51","40","37","20","1","2","10","5","5","0","0","2","4","8","28","25","1","6","4","60.00"
"529","Anders Bjork","BOS, BUF","L","45","533.13333333333","5","5","3","2","10","62.50","34","14.71","3.18","74","55","41","14","4","3","14","7","7","0","0","4","13","15","42","45","11","0","0","-"
"536","Jake Evans","MTL","C","47","452.23333333333","2","8","5","3","10","66.67","47","4.26","3.11","76","62","44","15","0","4","27","8","6","1","1","14","13","9","75","70","23","160","151","51.45"
"550","Vince Dunn","STL","D","43","719.45","4","6","2","4","10","47.62","61","6.56","2.89","139","79","37","7","1","6","18","9","9","0","0","7","24","7","35","48","47","0","0","-"
"566","Dylan Strome","CHI","C","40","478.56666666667","5","5","3","2","10","62.50","51","9.80","4.42","80","65","50","21","0","4","12","6","6","0","0","3","20","16","7","46","19","139","161","46.33"
"587","Lawson Crouse","ARI","L","51","595.31666666667","4","6","6","0","10","58.82","66","6.06","8.26","126","106","84","39","6","8","42","10","6","2","2","9","9","17","152","44","24","15","16","48.39"
"634","Mason Marchment","FLA","L","33","422.31666666667","2","8","5","3","10","58.82","47","4.26","4.27","80","69","47","20","2","5","16","8","8","0","0","13","8","12","71","76","7","9","20","31.03"
"636","Philippe Myers","PHI","D","44","738.76666666667","1","9","4","5","10","31.25","71","1.41","2.85","156","103","40","2","1","12","20","10","10","0","0","5","26","17","62","48","36","0","0","-"
"691","Nathan Bastian","N.J","R","41","447.25","3","7","4","3","10","55.56","44","6.82","4.96","71","63","51","30","1","7","21","9","8","1","0","6","3","10","126","67","19","11","17","39.29"
"729","Juuso Valimaki","CGY","D","49","665.88333333333","2","8","4","4","10","32.26","66","3.03","2.21","138","90","29","3","1","9","26","13","13","0","0","5","25","9","25","69","46","0","0","-"
"739","Jaret Anderson-Dolan","L.A","C","34","385.68333333333","6","4","2","2","10","62.50","30","20.00","2.9","53","41","31","17","2","3","4","2","2","0","0","2","6","3","50","37","17","123","146","45.72"
"779","David Kampf","CHI","C","55","644.45","1","9","5","4","10","62.50","51","1.96","4.9","86","67","54","26","4","8","14","7","7","0","0","11","8","22","37","73","12","306","235","56.56"
"820","K'Andre Miller","NYR","D","53","943.03333333333","5","5","1","4","10","23.26","56","8.93","1.79","123","79","25","3","2","8","18","8","8","0","0","6","39","28","81","43","63","0","0","-"
